index: 0
( -7.76622900645111691E-04 , -1.03425570510641226E-03 )
index: 37
( 2.04963675117086214E-03 , 1.01078311029285570E-03 )
( 3.53946730902436938E-04 , -1.23805919166976937E-03 )
( -1.65162286322860659E-05 , -8.88192091277281194E-04 )
( 1.18900080459065621E-03 , -1.24283133234558141E-05 )
( 2.58992196293693008E-03 , 3.31282277643731970E-04 )
( 1.14109259113953643E-03 , 2.65674503935260848E-04 )
( -1.53960586583077284E-03 , 1.22216111137485100E-03 )
( -1.23560422903148536E-03 , 3.16086117924504616E-04 )
( 1.03900012886816656E-03 , -6.80106539141602765E-04 )
( -3.35721089754823778E-04 , -1.77627722931093714E-03 )
( -6.84839213735417135E-05 , -1.89049103340620923E-03 )
( -9.30365056832257271E-04 , 1.21570213295957383E-04 )
index: 38
( -3.28921614385646610E-04 , -3.77966916731674275E-04 )
( 1.31757078503366340E-03 , -2.04237590426815767E-03 )
( -1.26175688244899013E-03 , -9.20278183532102887E-04 )
