index: 0
index: 14
( -4.80904888974578587E-02 , 5.11305298945950781E-01 )
( 1.64739856527811912E+00 , 4.59547879509533241E-01 )
( -3.93449487591399361E-01 , -5.82131376790960831E-01 )
( 4.95919089787933420E-02 , -2.95505189998411300E-01 )
( 5.27089474592363216E-01 , 3.24071597397016409E-01 )
( -1.29412745445281696E+00 , 1.62212940392497273E+00 )
( -9.31333440599932116E-02 , -1.31793170284891431E-01 )
( -2.84116500034009178E-01 , 5.51747778810394274E-01 )
( 3.71667730268111951E-01 , -5.61434386554100495E-01 )
( -1.50018519148535867E-01 , 5.83152691814699309E-01 )
( 1.23976271334918864E+00 , -3.90741690828627294E-03 )
( -3.70563548307370538E-01 , 5.26046363047444204E-02 )
index: 15
( 2.22050134902357393E-01 , 5.82965365605115804E-01 )
( 4.30099001373440648E-01 , -6.15741368201289774E-01 )
( -1.85484514311823023E+00 , -6.81149104442837272E-01 )
( -1.60258699321121356E-01 , -6.43727656058318720E-01 )
( 1.63796070064599153E+00 , 7.84028994387120481E-01 )
( -1.06256746936114599E+00 , 6.85590963790327690E-01 )
( 1.54319172984289071E-01 , -8.99189013074670696E-01 )
( -6.45138335027499954E-01 , -1.71984944097613363E-01 )
( 1.38938440844482286E-01 , 4.51741927042153490E-01 )
( 9.64792789278859919E-01 , 1.68820841270115707E-01 )
( -6.07788229814982262E-01 , 1.10218153087585491E+00 )
( 3.96457651612686535E-01 , -3.87607455316498262E-01 )
index: 16
( 9.63878926770237593E-02 , 1.21827404824210639E+00 )
( -7.42753125172143314E-01 , 1.80175681240471963E+00 )
( -1.22185240554844610E+00 , 4.71691439794792000E-01 )
( -2.44063455840888122E-01 , 7.60867471709844867E-02 )
( -5.71638086131466938E-01 , 1.07158488679677255E+00 )
( -1.19792648657588763E-01 , -1.39383581285185965E-01 )
( 1.95214658526450702E-01 , 1.85898575122733195E-01 )
( -3.06045007947956693E-01 , -1.27288082520446516E-01 )
( -6.19803713937350231E-01 , -5.47605468787010885E-01 )
( -2.28178216406469403E-02 , 2.44114893420463580E-02 )
( 9.94896454308599409E-01 , -3.83418773451429162E-01 )
( 6.87299680244514988E-02 , 5.15274133643794707E-01 )
index: 17
( -5.25590852231494043E-01 , 8.55960250866942496E-01 )
( -3.80145435853888047E-01 , 2.86224360155279467E-01 )
( -9.52665795108810221E-02 , 1.17903519656508227E+00 )
( 5.05991660980697811E-01 , 1.39716380977188059E+00 )
( 1.86223318044826769E+00 , -1.30074478337162325E+00 )
( 6.49948258813471846E-01 , 1.41458766511579653E-01 )
( -1.27642661271479468E-01 , -7.50848465480480898E-01 )
( -1.19311699204340838E+00 , 6.95646486883353843E-01 )
( -1.35154067628739827E+00 , 3.79342224603947231E-01 )
( -6.16538174229092850E-01 , -3.29136932028564366E-01 )
( 2.68081113841401486E-01 , -1.95269110137751417E-01 )
( -5.74850788195186757E-01 , 4.17898737239894791E-01 )
index: 18
( -5.24188077844247924E-01 , -3.74224751264733535E-01 )
( 5.99431034894913339E-01 , 2.54729468381357571E-01 )
( 4.84953765631943590E-01 , 6.63608979298665691E-01 )
( 3.54835281701685268E-01 , -2.06153451320896508E+00 )
( 3.83362303509681923E-01 , -8.87633156770235687E-01 )
( -6.75885625314195160E-01 , 3.02900967068677585E-01 )
( -2.60343446464494144E-01 , 4.50922608502704159E-01 )
( 6.03492806134996007E-01 , -3.37968361810241438E-02 )
( -7.77377072219396004E-01 , -2.14976315012354391E+00 )
( 8.47773227254378647E-01 , -7.97594255031001897E-01 )
( -1.25400848553732547E+00 , -3.79302634755755319E-01 )
( 1.11566518948308484E-02 , 3.34534948975392876E-01 )
index: 19
( -2.27968060503756620E-01 , 2.44123877694039981E-01 )
( -3.98812599401119072E-01 , 1.54796884405350621E+00 )
( 7.62682177576121223E-01 , 3.55671751580359907E-01 )
( -1.29381349784398664E-01 , 7.28586623437248670E-01 )
( 7.80739102514504735E-01 , -1.06506843185371491E+00 )
( -4.12613790673026615E-01 , -8.30827582225837080E-01 )
( 1.39949074653712691E+00 , 3.50287216456986461E-01 )
( 6.03040125166465435E-01 , -1.17639882340947266E+00 )
( 1.28934401886788730E+00 , 4.75854741915293145E-01 )
( -1.09012363290538317E+00 , -6.49867107984070436E-01 )
( 4.53091791642333097E-01 , 3.94138979906281505E-03 )
( 1.91146295790701815E+00 , -3.97615424220452374E-01 )
index: 20
( -1.01830966327493622E+00 , 6.97599813316310546E-02 )
( -5.92411845673649351E-01 , -3.78394371524508610E-01 )
( 1.02920612519345989E+00 , 9.41003487376862013E-01 )
( -8.02958534689849235E-01 , 1.04480028601616404E+00 )
( -9.13397868202018071E-01 , -3.88467728149560876E-01 )
( -2.32439404455685200E-01 , 2.63971339961809826E-01 )
( 3.87622559916218010E-02 , 3.99011137672904206E-02 )
( 1.81868085467593310E-01 , -3.59095656401582919E-01 )
( -6.99680840760826928E-01 , 2.00313928728262647E-01 )
( -1.00312407256206271E+00 , 5.24592879905757981E-01 )
( -3.44686645849898721E-01 , -2.14611610412353881E-01 )
( 3.76613735274969552E-01 , 1.65143548960916403E-01 )
index: 21
( 8.43928539757639595E-01 , 5.09784861304404702E-01 )
( 3.50256558469373092E-01 , -2.51884474834890626E-01 )
( -5.89597578550434709E-01 , -5.80849215348144043E-01 )
( -8.93511120643486478E-01 , 6.21868236163876986E-01 )
( -1.03447461489835302E+00 , -4.23024169428267482E-01 )
( 9.71807590332740112E-01 , -5.62405415215795235E-01 )
( 3.41433656817551778E-01 , 4.29774994996443394E-01 )
( -5.44434265249274740E-01 , -4.13401589804239189E-01 )
( 3.76577395103886770E-01 , -1.40541626708297063E-01 )
( -1.99420069330760952E-01 , 3.06656120720101455E-01 )
( 1.14328619248237562E+00 , -2.43740689334936145E-01 )
( 5.94402117975197153E-01 , 1.91791863258330281E-01 )
index: 22
( -3.99943142539678165E-01 , 3.33637994857016867E-02 )
( 6.20473029963688583E-01 , -4.51902807115856620E-01 )
( 9.47588953569372533E-02 , -6.64117010835884702E-01 )
( -1.41464054411496953E-01 , 5.37920726443841923E-01 )
( 5.04315760629214127E-01 , 1.27226002507545621E-01 )
( -7.81947418789043169E-01 , 8.10502167109971139E-01 )
( 2.87632727624197657E-02 , 2.23033604471695984E-01 )
( -3.20770141895678540E-01 , -5.13704542681627352E-01 )
( -3.58846391115688002E-01 , 1.14086047052584724E-01 )
( 5.43826455646999940E-01 , 7.07233437166271073E-01 )
( -2.31630190623946991E-01 , -5.35988323416036971E-01 )
( 9.03294075972101540E-01 , 3.39968374650806426E-01 )
index: 23
( 6.17567674887105955E-01 , -3.94722228659025565E-01 )
( -1.03311273082303767E+00 , -1.63154691607163671E+00 )
( -4.17740502223289178E-01 , 1.14374992118443308E+00 )
( -1.02724630991558730E+00 , -6.28945949437529683E-01 )
( 3.29253220824917092E-01 , 7.16376284426164855E-01 )
( 9.20213069428133967E-01 , 5.32353258874297297E-01 )
( 8.39580842966933139E-01 , 3.44080451572345070E-01 )
( -6.57907179234527295E-02 , -5.10501742449834817E-01 )
( 6.67436865876232965E-01 , -1.29535278446253366E+00 )
( 7.00852371682782693E-01 , 2.20487756124481460E-01 )
( -5.02294094897467125E-01 , 1.21127784199421579E-01 )
( -1.15243057772589585E+00 , 8.43362749441578519E-01 )
index: 24
( 4.79542035493488450E-01 , -6.71127853349461345E-01 )
( -1.37682038855575506E-01 , 2.18989860956232629E-01 )
( 5.20247508994951202E-01 , -9.10043781296540177E-01 )
( -1.28937528392442680E+00 , -1.53022833153861981E+00 )
( -2.51284455804200502E-01 , -1.01682149305026770E+00 )
( 9.15181288408013494E-01 , -8.45286922790790402E-02 )
( 1.00078763086375200E+00 , 5.73305106438948497E-01 )
( -3.46303840588525036E-01 , -8.91582806473089295E-01 )
( -6.23351516282318441E-01 , 7.92463703153287513E-01 )
( 1.13058291477552645E-02 , 9.13823856772072868E-02 )
( 2.03489717817903794E-02 , -1.05837957597822174E+00 )
( -7.52443438330196890E-01 , 9.47865470751197703E-02 )
index: 25
( -1.00634825418588392E+00 , -8.25254940925440938E-01 )
( 9.69661622986548122E-01 , 4.17172922298508275E-01 )
( 1.21836433528177815E-01 , 4.48539280911622151E-01 )
( 1.28717919160045852E-02 , 9.48367885364914232E-01 )
( -4.10225374066484461E-01 , 7.07621417281106141E-02 )
( -8.48564098378634842E-03 , 3.96709175629574862E-01 )
( -6.23377504543945249E-01 , -6.88696306592786467E-01 )
( 3.32676218073185703E-01 , 7.86288331470197055E-01 )
( -4.22023507453567093E-01 , -8.86878701216699983E-01 )
( -8.08128724211290339E-01 , -1.94317665177154764E+00 )
( 2.34174907235796592E-01 , -1.10053827586349584E+00 )
( 5.47791064640622216E-01 , 7.12148637831915954E-01 )
index: 26
( -9.25174822528352259E-01 , 2.91675182410932737E-02 )
( -4.73749434610125753E-01 , 7.44850115584903827E-02 )
( 3.41856666479521787E-01 , 1.48759002708838933E-01 )
( -2.48500689026502325E-01 , 2.21804557412067588E-01 )
( -9.68552738118537149E-01 , -6.60786910901945523E-01 )
